Month of Order Date,Product Name,Sales
2013-05-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208
2015-06-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208
2013-11-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",333
2016-07-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",416
2016-11-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",500
2015-08-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1041
2013-11-01,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",6
2014-11-01,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",44
2014-12-01,3-ring staple pack,4
2013-01-01,3-ring staple pack,6
2014-08-01,3-ring staple pack,6
2014-06-01,3-ring staple pack,8
2016-12-01,3-ring staple pack,9
2015-09-01,3-ring staple pack,11
2015-08-01,3.6 Cubic Foot Counter Height Office Refrigerator,59
2013-03-01,3.6 Cubic Foot Counter Height Office Refrigerator,177
2016-12-01,3.6 Cubic Foot Counter Height Office Refrigerator,295
2016-09-01,3.6 Cubic Foot Counter Height Office Refrigerator,943
2016-08-01,3.6 Cubic Foot Counter Height Office Refrigerator,1473
2016-10-01,"3D Systems Cube Printer, 2nd Generation, Magenta",5200
2015-04-01,"3D Systems Cube Printer, 2nd Generation, Magenta",9100
2016-11-01,"3D Systems Cube Printer, 2nd Generation, White",1040
2013-09-01,"3D Systems Cube Printer, 2nd Generation, White",1300
2014-12-01,3M Hangers With Command Adhesive,3
2016-12-01,3M Hangers With Command Adhesive,10
2013-06-01,3M Hangers With Command Adhesive,22
2014-05-01,3M Hangers With Command Adhesive,22
2016-04-01,3M Hangers With Command Adhesive,24
2015-12-01,3M Hangers With Command Adhesive,27
2014-12-01,3M Office Air Cleaner,104
2016-07-01,3M Office Air Cleaner,156
2014-07-01,3M Organizer Strips,6
2016-04-01,3M Organizer Strips,8
2016-11-01,3M Organizer Strips,9
2013-11-01,3M Organizer Strips,13
2016-09-01,3M Organizer Strips,21
2016-03-01,3M Organizer Strips,26
2014-03-01,3M Polarizing Light Filter Sleeves,22
2015-11-01,3M Polarizing Light Filter Sleeves,37
2015-05-01,3M Polarizing Light Filter Sleeves,45
2015-12-01,3M Polarizing Light Filter Sleeves,112
2015-11-01,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",274
2016-04-01,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",274
2013-09-01,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",822
2016-11-01,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",822
2014-12-01,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,53
2014-09-01,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,61
2014-04-01,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,76
2015-04-01,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,114
2016-12-01,"6"" Cubicle Wall Clock, Black",10
2016-09-01,"6"" Cubicle Wall Clock, Black",32
2015-09-01,"6"" Cubicle Wall Clock, Black",83
2014-10-01,9-3/4 Diameter Round Wall Clock,11
2015-05-01,9-3/4 Diameter Round Wall Clock,41
2013-08-01,9-3/4 Diameter Round Wall Clock,44
2015-02-01,9-3/4 Diameter Round Wall Clock,69
2013-07-01,9-3/4 Diameter Round Wall Clock,124
2016-11-01,9-3/4 Diameter Round Wall Clock,165
2015-07-01,12 Colored Short Pencils,4
2013-04-01,12 Colored Short Pencils,6
2016-11-01,12 Colored Short Pencils,8
2016-06-01,12-1/2 Diameter Round Wall Clock,24
2016-01-01,12-1/2 Diameter Round Wall Clock,32
2014-11-01,12-1/2 Diameter Round Wall Clock,40
2013-12-01,12-1/2 Diameter Round Wall Clock,64
2014-12-01,12-1/2 Diameter Round Wall Clock,80
2015-05-01,12-1/2 Diameter Round Wall Clock,112
2016-09-01,12-1/2 Diameter Round Wall Clock,200
2015-09-01,14-7/8 x 11 Blue Bar Computer Printout Paper,96
2016-12-01,14-7/8 x 11 Blue Bar Computer Printout Paper,96
2016-02-01,14-7/8 x 11 Blue Bar Computer Printout Paper,115
2016-08-01,14-7/8 x 11 Blue Bar Computer Printout Paper,115
2016-09-01,"24 Capacity Maxi Data Binder Racks, Pearl",421
2013-10-01,"24 Capacity Maxi Data Binder Racks, Pearl",505
2015-11-01,"24 Capacity Maxi Data Binder Racks, Pearl",1263
2016-06-01,"24 Capacity Maxi Data Binder Racks, Pearl",1348
2016-10-01,24-Hour Round Wall Clock,20
2016-05-01,24-Hour Round Wall Clock,40
2015-10-01,24-Hour Round Wall Clock,48
2015-01-01,24-Hour Round Wall Clock,80
2013-05-01,24-Hour Round Wall Clock,140
2014-07-01,24-Hour Round Wall Clock,160
2016-08-01,36X48 HARDFLOOR CHAIRMAT,17
2014-03-01,36X48 HARDFLOOR CHAIRMAT,34
2016-10-01,36X48 HARDFLOOR CHAIRMAT,42
2016-07-01,36X48 HARDFLOOR CHAIRMAT,84
2015-05-01,36X48 HARDFLOOR CHAIRMAT,193
2014-03-01,50 Colored Long Pencils,10
2016-04-01,50 Colored Long Pencils,16
2013-11-01,50 Colored Long Pencils,30
2015-04-01,50 Colored Long Pencils,30
2014-08-01,50 Colored Long Pencils,51
2016-10-01,2300 Heavy-Duty Transfer File Systems by Perma,50
2014-12-01,2300 Heavy-Duty Transfer File Systems by Perma,75
2013-04-01,2300 Heavy-Duty Transfer File Systems by Perma,100
2014-09-01,2300 Heavy-Duty Transfer File Systems by Perma,120
2015-01-01,4009 Highlighters,8
2015-11-01,4009 Highlighters by Sanford,6
2016-07-01,4009 Highlighters by Sanford,10
2013-01-01,4009 Highlighters by Sanford,20
2014-10-01,4009 Highlighters by Sanford,20
2016-10-01,4009 Highlighters by Sanford,20
2015-05-01,4009 Highlighters by Sanford,28
2013-05-01,4009 Highlighters by Sanford,32
2016-06-01,4009 Highlighters by Sanford,36
2016-10-01,"""While you Were Out"" Message Book, One Form per Page",7
2016-09-01,"""While you Were Out"" Message Book, One Form per Page",9
2016-11-01,"""While you Were Out"" Message Book, One Form per Page",9
2014-12-01,#6 3/4 Gummed Flap White Envelopes,8
2014-09-01,#6 3/4 Gummed Flap White Envelopes,16
2016-10-01,#6 3/4 Gummed Flap White Envelopes,48
2014-11-01,"#10 Gummed Flap White Envelopes, 100/Box",7
2015-04-01,"#10 Gummed Flap White Envelopes, 100/Box",8
2016-10-01,"#10 Gummed Flap White Envelopes, 100/Box",10
2015-01-01,"#10 Gummed Flap White Envelopes, 100/Box",17
2015-04-01,#10 Self-Seal White Envelopes,9
2015-09-01,#10 Self-Seal White Envelopes,11
2016-09-01,#10 Self-Seal White Envelopes,22
2015-10-01,#10 Self-Seal White Envelopes,67
2014-09-01,"#10 White Business Envelopes,4 1/8 x 9 1/2",13
2016-06-01,"#10 White Business Envelopes,4 1/8 x 9 1/2",38
2016-03-01,"#10 White Business Envelopes,4 1/8 x 9 1/2",47
2013-09-01,"#10 White Business Envelopes,4 1/8 x 9 1/2",78
